ARTIST_ID,ALBUM_ID,ALBUM_NAME,ALBUM_YEAR,ALBUM_POPULARITY
4QQgXkCYTt3BlENzhyNETg,2clJOOkMz707eU2OnHgS0z,"Holiday",2014,50
4QQgXkCYTt3BlENzhyNETg,4Mu5IyTkOziGIQjrLVSnYM,"The Promise",2014,47
4QQgXkCYTt3BlENzhyNETg,5YeUWgu0ljI6RPQ0LTYh5p,"Now, Then & Forever",2013,38
4QQgXkCYTt3BlENzhyNETg,3b3JBgS6tMqMupmviF0ruR,"Constellations: The Universe Of Earth, Wind & Fire",2013,45
4QQgXkCYTt3BlENzhyNETg,7eccDY0PWfI232xkP1Q5QM,"Live in Japan",2008,33
4QQgXkCYTt3BlENzhyNETg,3h8pxPJ3RIremB9B1oiLwM,"Illumination",2005,26
4QQgXkCYTt3BlENzhyNETg,24QQHdqK3VHd6RYlEkUHRE,"Illumination",2005,28
4QQgXkCYTt3BlENzhyNETg,0z6W2jsDYM5w0Vhn7UDHNv,"That's The Way Of The World: Alive In '75",2002,32
4QQgXkCYTt3BlENzhyNETg,1EoQsfQLa5tHthlgkDE6Ro,"Heritage",1990,25
4QQgXkCYTt3BlENzhyNETg,1num92a5GVrzsjg9mcALXO,"Touch The World",1987,31
4QQgXkCYTt3BlENzhyNETg,2KW8LEWDofKSztOfd0zdQl,"Electric Universe",1983,25
4QQgXkCYTt3BlENzhyNETg,3hZjcwZDDQOYB9PiGzEKSa,"Powerlight",1983,32
4QQgXkCYTt3BlENzhyNETg,1hj1SYbJYdXloRiSjsCLXg,"Raise!",1981,60
4QQgXkCYTt3BlENzhyNETg,6LapfqQYqVWO1kDb6GDXr6,"Faces",1980,39
4QQgXkCYTt3BlENzhyNETg,4RLVTxnuVN5ZWZqBFnaaQt,"I Am",1979,58
4QQgXkCYTt3BlENzhyNETg,0w0eT42Gyq6G9yXB0RirWh,"All 'N All",1977,48
4QQgXkCYTt3BlENzhyNETg,4p7Fp1dbgVOT4WVxKPpKHM,"Spirit",1976,48
4QQgXkCYTt3BlENzhyNETg,7AqOsJkpKZdkiap6CmIJ3Z,"Gratitude",1975,45
4QQgXkCYTt3BlENzhyNETg,5tXZfxvr2VaWibD74nw8VL,"That's The Way Of The World",1975,50
4QQgXkCYTt3BlENzhyNETg,5wELXR9l9i0ffOylTmpHV0,"Open Our Eyes",1974,37
7dNsHhGeGU5MV01r06O8gK,5iKpYBmAMsyGD5iTD3VjVf,"On The Air: Her Best TV Performances",2012,38
7dNsHhGeGU5MV01r06O8gK,42ClQwOX06MiqvPJ97yoNC,"Sweet Dreams: Her Complete Decca Masters (1960-1963)",2010,48
7dNsHhGeGU5MV01r06O8gK,0PJ9D3BWCCDHzYDwFjIeoU,"Golden Hits",2006,42
7dNsHhGeGU5MV01r06O8gK,4Jf4kwcCtHx7bpoCHAPeIR,"The Definitive Collection",2004,36
7dNsHhGeGU5MV01r06O8gK,6fOw8Kq5lFBALBtElXiSUo,"Greatest Hits",2003,42
7dNsHhGeGU5MV01r06O8gK,3kwl00I9hJSfwfWc4T3NAx,"Gold",2005,51
7dNsHhGeGU5MV01r06O8gK,7nicBOHkAJ944utrDrR3kv,"Patsy Cline",1998,37
7dNsHhGeGU5MV01r06O8gK,6nAexHN9lcR3qSiMqI3Qa8,"7 days Presents: Patsy Cline - The Sound Of Nashville",2006,25
7dNsHhGeGU5MV01r06O8gK,1F6Bna0VmOWSgXFY6XBGNS,"Back To Back",1997,14
7dNsHhGeGU5MV01r06O8gK,0TG2GEHyjM6E2JD2jQPfCV,"Live At The Cimarron Ballroom",1997,14
7dNsHhGeGU5MV01r06O8gK,4SQh8M9IqxlNivEbdplFwk,"Classics",1996,28
