ID,Label,Color,Location,Size,Funding,Registration
124,QZGYSTHJBHW,Red,Qinghai,"(1,5)",not enough,non-registered
84,LSHJ,Blue,Hubei,"(6,10)",enough,registered
115,LZZ,Red,Beijing,"(6,10)",not enough,non-registered
62,HYKJ,Blue,Beijing,"(1,5)",not enough,registered
36,GZHJ,Blue,Beijing,"(16,20)",enough,registered
139,SZLHQLVXW,Blue,Guangdong,(20+),not enough,registered
157,WHSTZX,Blue,Anhui,"(1,5)",enough,registered
103,LSXX,Blue,Hunan,"(6,10)",enough,registered
5,LMJH,Blue,Anhui,"(11,15)",not enough,registered
22,DBSSTPKWTYJH,Blue,Sichuan,"(6,10)",not enough,registered
31,LJYHJYHZX,Blue,Fujian,"(6,10)",not enough,registered
